Roll,Name,Description
1,Grand Vestibule,"A vast entry hall of polished black stone. Towering onyx pillars support a domed ceiling etched with ancient runes of protection. Faded banners bearing the sigil of Felstad’s mage conclave hang between the columns. At the center of the floor lies a massive summoning circle now cracked and partially erased, as if something once forced its way out."
2,Conclave Chamber,A circular council hall lined with high-backed stone chairs arranged around a central obsidian table. The surface of the table is etched with intricate maps of the planes. The chamber once hosted debates among Felstad’s greatest mages as they determined which beings were safe to summon—or imprison.
3,Hall of Trophies,"Glass cases and iron pedestals display relics taken from defeated extraplanar beings: broken horns, crystallized ichor, celestial feathers, and blades forged in impossible realms. Many displays have been shattered, and several artifacts are missing, leaving only scorched plaques that describe what once rested there."
4,Archive of Parley,Tall shelves filled with scrolls and leather-bound tomes record centuries of negotiations between Felstad’s mages and beings from beyond the mortal world. Contracts sealed with arcane sigils lie scattered across long reading tables. Some documents glow faintly with lingering magical oaths.
5,Arcane Observatory,"A high-domed chamber containing floating brass instruments and massive astrolabes designed to track the movements of the planes. Crystal lenses slowly drift through the air, projecting shifting constellations across the walls. From here the mages monitored the thinning of the veil between worlds."
6,Containment Vaults,"Rows of thick stone chambers line the walls, each sealed by shattered arcane sigils and heavy iron doors engraved with binding runes. Inside many cells lie scorched floors, claw marks in the stone, or strange residues that hint at the beings once imprisoned here. Most of the containment circles have been violently broken from within."
7,The Circle of True Names,"A vast summoning chamber dominated by an enormous rune circle carved into the floor. Hundreds of names are etched into the stone in ancient script—true names of beings bound within the tower. Some runes have been scratched away or defaced, as if something tried desperately to erase its own name."
8,The Ward Engine,"A towering structure of brass rings, crystal conduits, and glowing arcane cores fills this chamber. This machine once powered the magical wards that kept the tower’s prisoners contained. Now it sparks intermittently, emitting pulses of unstable energy that ripple through the stone walls."
9,Bestiary Gallery,"Tall cabinets and illustrated panels catalog the creatures that the mages of Felstad studied and imprisoned. Detailed anatomical sketches show angels, demons, fey nobles, and stranger beings still unnamed. Several cases have been smashed open, and the preserved remains inside are gone."
10,The Rift Stair,"A massive vertical shaft rises through the center of the tower. Broken staircases spiral along the walls while floating stone fragments drift slowly through the air. Faint arcane currents pull upward toward the higher levels, where the veil between planes grows dangerously thin."
11,The Fractured Library,"Bookshelves have splintered apart and now float through the air like shattered islands of wood and parchment. Hundreds of ancient tomes drift slowly through the chamber, their pages turning in an unseen current."
12,The Shifting Corridor,"A long corridor lined with identical doors stretches into the distance. When viewed directly, the hallway appears stable—but when looked away from, the doors quietly rearrange themselves, and the corridor subtly shifts its shape."
13,The Inverted Hall,Two identical versions of the chamber exist simultaneously—one above and one below—joined by twisting stairways that flip orientation halfway through their climb. Some furniture rests upside down on the ceiling as if gravity has chosen multiple directions at once.
14,The Endless Bridge,"A narrow stone bridge extends into darkness far longer than the tower’s interior should allow. Broken sections reveal open void beneath the structure, yet fragments of the bridge still hang suspended in midair as if gravity has forgotten them."
15,Floating Platform Atrium,"What was once a massive chamber has collapsed into dozens of floating stone platforms drifting slowly through open space. Pieces of staircases, shattered railings, and fragments of walls hang motionless around the room like debris frozen in time."
16,The Echoing Court,"A grand ceremonial hall appears several times over, each version slightly offset from the others like overlapping reflections. Columns pass through one another at impossible angles, and multiple versions of the same doorway flicker in and out of existence along the walls."
17,The Impossible Stair,"A massive staircase twists through the chamber, spiraling upward, sideways, and occasionally back through itself in ways that defy geometry. Some sections of the stair climb along the walls or ceiling before reconnecting to the main structure."
18,The Chamber of Hanging Ruins,"Fragments of architecture drift through this enormous space—pieces of towers, broken archways, shattered bridges, and sections of walls that clearly do not belong to this structure. These ruins hang motionless in the air as though gravity has forgotten them."
19,The Frozen Processional,"A long ceremonial corridor leads toward the tower’s pinnacle. Dozens of stone statues depicting Felstad’s ancient mages stand along the path, each frozen mid-ritual. Many have cracked open, revealing frost spreading through the stone as if something cold passed through them all at once."
20,The Throne of the Frozen King,"The tower’s pinnacle opens into a vast chamber where the walls have partially collapsed into open void. Fragments of stone platforms drift through the air like shattered islands, slowly orbiting a massive throne carved from black ice.

Ancient chains of glowing runic energy hang broken around the chamber, their shattered links still embedded in the surrounding stone. These bindings once held the tower’s most dangerous prisoner.

Seated upon the frozen throne is a towering figure adorned in frost and furs. His body is bound in remnants of ancient wards, and the ice surrounding him cracks slowly as his strength returns.

The chamber itself is unstable, shifting as the veil between planes thins. The platforms drift and reposition themselves unpredictably, forcing those who enter to leap, climb, or find other ways to cross the broken arena.

The Frozen King watches silently as intruders approach.

Whether he greets them as enemies, pawns, or potential liberators remains to be seen.."
