Roll,Name,Description
1,Flickering Wards,Runes etched into the walls flash weakly as ancient containment spells struggle to remain active. Occasional sparks of raw magic jump between the sigils.,,,,,,,,,,,,,,,,,,,,,,,
2,Arcane Static,The air hums with unstable magical energy. Tiny motes of blue light drift through the chamber like embers.,,,,,,,,,,,,,,,,,,,,,,,
3,Temporal Echo,"Ghostly images replay moments from the tower’s past: mages shouting warnings, circles activating, something terrible breaking free.",,,,,,,,,,,,,,,,,,,,,,,
4,Distorted Acoustics,Sounds travel strangely here. A whisper might echo like thunder while loud noises fade instantly.,,,,,,,,,,,,,,,,,,,,,,,
5,Lingering Ritual,An unfinished summoning circle glows faintly. The magic that once powered it still clings to the room.,,,,,,,,,,,,,,,,,,,,,,,
6,Warped Distance,Paths stretch and compress unpredictably. A doorway that looks a few steps away may take much longer to reach.,,,,,,,,,,,,,,,,,,,,,,,
7,Floating Debris,"Books, stones, or fragments of furniture drift slowly through the air as gravity weakens.",,,,,,,,,,,,,,,,,,,,,,,
8,Shifting Orientation,Gravity subtly shifts direction. Loose objects slide toward unexpected surfaces.,,,,,,,,,,,,,,,,,,,,,,,
9,Mirror Reflection,Reflective surfaces show slightly different versions of the room—sometimes with extra figures that are not actually present.,,,,,,,,,,,,,,,,,,,,,,,
10,Ghostly Architects,"Spectral figures of ancient mages walk silently through the chamber, repeating the rituals they performed centuries ago.",,,,,,,,,,,,,,,,,,,,,,,
11,Elemental Fire,"### **Environmental Feel**

Oppressive heat, volcanic landscapes, and ancient basalt terrain.

### **Visual Description**

Cracks split the stone floor revealing rivers of molten lava beneath. Jagged black basalt pillars rise from the ground like volcanic cliffs. Red ash drifts through the air and distant thunder echoes like eruptions in the distance.

### **Sensory Presence**

* air shimmers with heat  
* metallic smell of sulfur and hot stone  
* faint rumbling like distant magma flows

### **Mechanical Effects**

* intense heat causes **fatigue or minor damage over time**  
* lava channels or magma vents create **hazard zones**  
  metal equipment becomes **uncomfortably hot**  
* occasional **fire geysers erupt from fissures**",,,,,,,,,,,,,,,,,,,,,,,
